filter,pkBookingID,fkUserID,fkLocationID,fkColourCodeID,Approved,fkApprovedByID,dateAdded,dateBookingApproved,deleteBooking,prepUnit,prepPeriod,cleanDownUnit,cleanDownPeriod,bookingRealStartTime,bookingRealEndTime,bookingPending,pendingOnGrid,fkSeatingOptionID,bookingRejected,trackUserID,trackDate,emailBookingLink,fkVCID,vcEnd,prBookingID,waitList,requestedAttributes,priority,selectedRoomOnly,fkHostID,fkRequestorID,noShow,parkingFreeSpaceBooking,vcConferenceID,roomClear,InstantMeeting,BookingSource,IsOutlookBooking,IsRecurringBooking,resID,resSourceName,resIDBackup,BlockKey,importData,Status,dontMove,StagingBookingID,TransactionGUID,RealStartDateTimeUTC,RealEndDateTimeUTC,DeskGroupRestrictionType,fkRequestId,IsLinkedRoomBooking,fkTeamDayID,LastModifytime
26,26,31,10,61,True,31,2023-04-13 19:56:37,2023-04-13 19:56:37,0,0,0,0,0,None,None,False,False,4,False,None,None,98E8AA85-A5BD-4DE0-A17A-448872BC13FC,None,None,None,0,,0,0,None,None,None,False,None,None,None,None,False,False,None,None,None,None,None,0,None,29,AF323033-D11B-48C2-99C8-475A14F599DE,None,None,None,None,None,None,b'\x00\x00\x00\x00\x00\x00Nq'
27,27,31,3,37,True,31,2023-04-13 10:56:58,2023-04-13 10:56:58,0,0,0,0,0,None,None,False,False,4,False,None,None,4F0B491F-3FBC-4C18-A279-10414597872F,None,None,None,0,,0,0,None,None,None,False,None,None,None,None,False,False,None,None,None,None,None,0,None,31,2A1AE877-9D80-4758-89D7-2020A82989C0,None,None,None,None,None,None,b'\x00\x00\x00\x00\x00\x00Ny'
28,28,31,5,51,True,31,2023-04-13 02:57:28,2023-04-13 02:57:28,0,0,0,0,0,None,None,False,False,4,False,None,None,5CC91708-F5B8-49A0-8D42-387C2BB3CD73,None,None,None,0,,0,0,None,None,None,False,None,None,None,None,False,False,None,None,None,None,None,0,None,32,FE05708A-B87E-4306-8A72-D0F87F494E99,None,None,None,None,None,None,b'\x00\x00\x00\x00\x00\x00N\x83'
29,29,31,5,51,True,31,2023-04-13 02:57:38,2023-04-13 02:57:38,0,0,0,0,0,None,None,False,False,5,False,None,None,E38FC41A-AF16-4171-909F-64DB406DE145,None,None,None,0,,0,0,None,None,None,False,None,None,None,None,False,False,None,None,None,None,None,0,None,33,A9467B75-34D3-4C56-BD7D-37E1A949DF3E,None,None,None,None,None,None,b'\x00\x00\x00\x00\x00\x00N\x89'
30,30,31,5,51,True,31,2023-04-13 02:57:45,2023-04-13 02:57:45,0,0,0,0,0,None,None,False,False,6,False,None,None,47C8CB02-E39F-4729-A676-BE7C09FD046A,None,None,None,0,,0,0,None,None,None,False,None,None,None,None,False,False,None,None,None,None,None,0,None,34,BBFFB964-50AA-4FB0-95C3-4A2E24F6B99A,None,None,None,None,None,None,b'\x00\x00\x00\x00\x00\x00N\x8f'
31,31,31,11,63,True,31,2023-04-13 15:28:03.983000,2023-04-13 15:28:03.983000,0,0,0,0,0,None,None,False,False,3,False,None,None,1257CB8C-6C4A-4438-87FE-AC7B6EFA6356,None,None,None,0,,0,0,None,None,None,False,None,None,None,9,False,False,None,None,None,None,None,0,None,35,595DDF7D-4FDF-42CD-84C7-EC1E606191B7,None,None,None,None,None,None,b'\x00\x00\x00\x00\x00\x00N\x95'
32,32,31,8,55,True,31,2023-04-13 17:58:33.377000,2023-04-13 17:58:33.377000,0,0,0,0,0,None,None,False,False,2,False,None,None,D45A9BD1-360F-4CB6-83DB-D22031CCD92E,None,None,None,0,,0,0,None,None,None,False,None,None,None,9,False,False,None,None,None,None,None,0,None,36,7C172C44-FF14-4105-B9F3-4D8E8A957C65,None,None,None,None,None,None,b'\x00\x00\x00\x00\x00\x00N\x9b'
33,33,31,8,55,True,31,2023-04-13 17:59:49.180000,2023-04-13 17:59:49.180000,0,0,0,0,0,None,None,False,False,6,False,None,None,C8238A90-58D9-4984-810B-942615ABE397,None,None,None,0,,0,0,None,None,None,False,None,None,None,9,False,False,None,None,None,None,None,0,None,37,B6A50560-B809-4780-8279-7DAEAB7AD954,None,None,None,None,None,None,b'\x00\x00\x00\x00\x00\x00N\xa1'
34,34,31,8,55,True,31,2023-04-13 18:00:45.507000,2023-04-13 18:00:45.507000,0,0,0,0,0,None,None,False,False,6,False,None,None,5F8D3C64-EA84-4ED6-8D4A-574AF3AF99AF,None,None,None,0,,0,0,None,None,None,False,None,None,None,9,False,False,None,None,None,None,None,0,None,38,13EE3456-D4E8-4459-8658-E975C751E28F,None,None,None,None,None,None,b'\x00\x00\x00\x00\x00\x00N\xa7'
35,35,31,11,63,True,31,2023-04-13 15:31:07,2023-04-13 15:31:07,0,0,0,0,0,None,None,False,False,4,False,None,None,CAE1357B-F9B4-4465-AF87-8499F1B6693C,None,None,None,0,,0,0,None,None,None,False,None,None,None,None,False,False,None,None,None,None,None,0,None,39,BDA56282-1A3A-4A6A-97E2-668800DD669A,None,None,None,None,None,None,b'\x00\x00\x00\x00\x00\x00N\xad'
36,36,31,11,63,True,31,2023-04-13 15:31:18,2023-04-13 15:31:18,0,0,0,0,0,None,None,False,False,4,False,None,None,46556FFB-0967-449D-B8C3-194B031B306B,None,None,None,0,,0,0,None,None,None,False,None,None,None,None,False,False,None,None,None,None,None,0,None,40,67A36441-EAB6-487F-B866-51F7EBCF02EB,None,None,None,None,None,None,b'\x00\x00\x00\x00\x00\x00N\xb3'
37,37,31,11,63,True,31,2023-04-13 15:31:28,2023-04-13 15:31:28,0,0,0,0,0,None,None,False,False,3,False,31,2023-04-13 15:31:36.183000,A5A0E6EB-1907-425E-B19D-E26DD2A3D896,None,None,None,0,,0,0,None,None,None,False,None,None,None,None,False,False,None,None,None,None,None,0,None,41,74F05035-52E9-46C8-9ABC-75CDDB942873,None,None,None,None,None,None,b'\x00\x00\x00\x00\x00\x00N\xca'
