filter,SurrogateKey,TenantID,pkBookingID,fkUserID,fkLocationID,dateAdded,trackDate,fkHostID,noShow,BookingSource,deleteBooking,RealStartDateTimeUTC,RealEndDateTimeUTC,bookingRealStartTime,bookingRealEndTime,cleanDownPeriod,cleanDownUnit,PipelineExecutionDate
78,13161,condeco777,78,32,12,2023-04-13 19:13:09.410000,None,None,None,9,0,None,None,None,None,0,0,2024-02-06
79,13221,condeco777,79,31,3,2023-04-13 11:13:38.490000,None,None,None,9,0,None,None,None,None,0,0,2024-02-06
80,13281,condeco777,80,31,3,2023-04-13 11:13:45.857000,None,None,None,9,0,None,None,None,None,0,0,2024-02-06
81,13341,condeco777,81,31,11,2023-04-13 15:44:06.140000,None,None,None,9,0,None,None,None,None,0,0,2024-02-06
82,13401,condeco777,82,31,11,2023-04-13 15:45:28,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
83,13461,condeco777,83,31,11,2023-04-13 15:45:28,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
84,13521,condeco777,84,31,11,2023-04-13 15:45:28,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
85,13581,condeco777,85,31,11,2023-04-13 15:46:48,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
86,13641,condeco777,86,31,11,2023-04-13 15:46:48,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
87,13701,condeco777,87,31,11,2023-04-13 15:46:48,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
88,22,condeco777,88,32,6,2023-04-13 00:17:02,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
89,82,condeco777,89,32,7,2023-04-13 20:17:36.023000,None,None,None,9,0,None,None,None,None,0,0,2024-02-06
90,142,condeco777,90,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
91,202,condeco777,91,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
92,262,condeco777,92,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
93,322,condeco777,93,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
94,382,condeco777,94,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
95,442,condeco777,95,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
96,502,condeco777,96,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
97,562,condeco777,97,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
98,622,condeco777,98,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
99,682,condeco777,99,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
100,742,condeco777,100,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
101,802,condeco777,101,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
102,862,condeco777,102,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
103,922,condeco777,103,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
104,982,condeco777,104,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
105,1042,condeco777,105,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
106,1102,condeco777,106,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
107,1162,condeco777,107,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
108,1222,condeco777,108,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
109,1282,condeco777,109,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
110,1342,condeco777,110,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
111,1402,condeco777,111,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
112,1462,condeco777,112,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
113,1522,condeco777,113,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
114,1582,condeco777,114,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
